TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
GOODS;893041;46512;Корица молотая;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1002724;46513;Коробка бумажная ECO SANDWICH;Штуки;0.00;;;0.00;0.00;0.00
DISH;1024678;46513;Коробка бумажная ECO TABOX 500 мл.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1009578;46513;Коробка с окном 500мл НЕПЛАСТИК;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1046398;54161;"Котлеты ""Домашние"" СТАФФ";Штуки;0.00;;;0.00;0.00;0.00
GOODS;893029;46512;Кофе в зёрнах;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1019299;49993;Кофе растворимый;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009602;49993;Крахмал картофельный;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1012483;49995;Крем для Тирамису;Килограммы;1047.00;;;0.00;0.00;0.00
PREPARED;1009757;49995;Крем-Чиз;Килограммы;1031.00;;;24.50;3.30;0.00
GOODS;1013155;49993;Круассаны замор.;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;903685;46543;Кружка Брендированная;Штуки;0.00;;;0.00;0.00;238.00
GOODS;1050843;54161;Крупа Гречневая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1156461;54161;Крупа Перловая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1047286;54161;Крупа Рис;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893386;55901;Крышка 80мм;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893389;55901;Крышка 90мм;Штуки;0.00;;;0.00;0.00;0.00
DISH;1072852;51053;Крышка д-31 см. нерж.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1040821;51053;Крышка к гастр. нерж 1/6 га39;Штуки;0.00;;;0.00;0.00;0.00
DISH;1040828;51053;Крышка к гастр. нерж. 1/1 га 35/04011093;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032001;51053;Крышка п/э для ящика;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893475;55901;Крышка пластик 90мм;Штуки;0.00;;;0.00;0.00;0.00
DISH;993316;46538;Кукис Кокосовый;Штуки;55.00;;;0.00;0.00;39.00
DISH;993317;46538;Кукис с Шоколадом;Штуки;55.00;;;0.00;0.00;49.00
GOODS;1046387;54161;Кукуруза (зам) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009714;49993;Кунжут белый;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009715;49993;Кунжут черный очищенный жареный;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1061315;49995;Куриное филе п/ф;Килограммы;900.00;;;0.00;0.00;0.00
GOODS;962256;49993;Курица копчёная;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1123392;46511;Лавандовый Латте M;Штуки;337.00;;;0.00;0.00;229.00
DISH;1123393;46511;Лавандовый Латте XL;Штуки;617.00;;;0.00;0.00;310.00
DISH;1119454;44991;Латте L;Штуки;356.00;;;0.00;0.00;192.00
DISH;1119453;44991;Латте M;Штуки;306.00;;;0.00;0.00;160.00
DISH;1119452;44991;Латте S;Штуки;196.00;;;0.00;0.00;137.00
DISH;1123379;46510;Латте Солёная Карамель M;Штуки;337.00;;;0.00;0.00;229.00
DISH;1123378;46510;Латте Солёная Карамель XL;Штуки;617.00;;;0.00;0.00;310.00
GOODS;962278;49993;Лимон;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;962308;49995;Лимонный сок;Килограммы;450.00;;;0.00;0.00;0.00
DISH;1072854;51053;Ложка соусная 100 гр.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1072853;51053;Лопатка металл. перфорир. 35,5 см.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1017631;49993;Лук красный;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1061311;49995;Лук очищенный п/ф;Килограммы;850.00;;;0.00;0.00;0.00
